cluster	Exp
EOG72K5BJ	292.5238202
EOG72P1J3	61.55273391
EOG72P1J4	7.909302105
EOG72P1J5	13.94207975
EOG72P1J6	13.81115355
EOG72P1J7	53.17573577
EOG72P1J8	105.4539391
EOG72P1J9	5.354306395
EOG72P1JB	101.8724073
EOG72P1JC	70.12615318
EOG72P1JD	0.959895649
EOG72P1JF	125.3307388
EOG72P1JG	18.64950016
EOG72P1JH	20.32622896
EOG72P1JJ	16.34989998
EOG72P1JK	31.52668498
EOG72P1JM	3.132658465
EOG72P1JN	94.76425805
EOG72P1JP	19.53914476
EOG72P1JQ	13.4555737
EOG72P1JR	83.22130101
EOG72P1JS	88.44243861
EOG72P1JT	113.8573378
EOG72P1JV	363.9997977
EOG72P1JW	134.4298014
EOG72P1JX	15.69988441
EOG72P1JZ	5.566443652
EOG72P1K0	8.397392075
EOG72P1K1	23.91105078
EOG72P1K2	0.041374619
EOG72P1K3	110.0005223
EOG72P1K4	14.09170767
EOG72P1K7	0.832997953
EOG72P1KB	2066.062101
EOG72RWS2	898.1768869
